project,"[1, 0, 0]"
araña,"[4, 0, 1]"
vicente,"[3, 2, 0]"
blasco,"[3, 15, 0]"
ibañez,"[3, 3, 0]"
release,"[1, 0, 0]"
spanish,"[1, 0, 0]"
edicion,"[1, 9, 0]"
mantenido,"[2, 1, 0]"
convenciones,"[1, 0, 0]"
ortograficas,"[1, 0, 0]"
incluyendo,"[2, 0, 0]"
variadas,"[1, 0, 0]"
normas,"[1, 0, 0]"
acentuacion,"[1, 0, 0]"
presentes,"[1, 3, 0]"
lista,"[3, 0, 1]"
errores,"[2, 0, 0]"
corregidos,"[2, 0, 0]"
sigue,"[7, 1, 1]"
negra,"[11, 7, 8]"
novela,"[1, 4, 0]"
primero,"[12, 6, 5]"
editorial,"[1, 2, 0]"
cosmopolis,"[1, 0, 0]"
apartado,"[1, 0, 1]"
madrid,"[23, 0, 14]"
imprenta,"[1, 0, 0]"
zoila,"[1, 0, 0]"
prologo,"[1, 3, 0]"
mejor,"[15, 14, 15]"
hacer,"[44, 25, 17]"
colegio,"[13, 0, 0]"
guardan,"[3, 0, 0]"
madre,"[17, 13, 7]"
directora,"[5, 0, 0]"
podra,"[10, 6, 0]"
pesar,"[36, 13, 11]"
hermano,"[36, 19, 3]"
decir,"[39, 10, 6]"
estas,"[41, 74, 8]"
llevaba,"[12, 12, 4]"
indolentemente,"[1, 1, 1]"
puntiagudo,"[1, 0, 0]"
mugriento,"[2, 0, 2]"
gorro,"[1, 0, 0]"
queriendo,"[7, 4, 6]"
medir,"[1, 0, 0]"
justo,"[2, 2, 0]"
patron,"[1, 0, 8]"
saludo,"[5, 6, 3]"
fuese,"[8, 7, 17]"
tampoco,"[10, 3, 0]"
saludos,"[2, 2, 0]"
personas,"[15, 2, 5]"
misteriosas,"[1, 0, 0]"
donde,"[42, 64, 21]"
vienen,"[3, 1, 3]"
sonreia,"[4, 0, 5]"
expresion,"[22, 5, 10]"
abriendo,"[2, 3, 3]"
aquella,"[119, 35, 70]"
bocaza,"[1, 0, 1]"
profundidad,"[2, 1, 1]"
interminable,"[3, 0, 2]"
adornada,"[1, 1, 0]"
entrada,"[7, 3, 1]"
dientes,"[1, 2, 0]"
retorcidos,"[1, 1, 0]"
amarillentos,"[1, 0, 0]"
fichas,"[1, 0, 0]"
domino,"[1, 0, 0]"
aquel,"[121, 48, 76]"
portero,"[8, 0, 0]"
religioso,"[3, 0, 0]"
juventud,"[7, 1, 2]"
disueltas,"[1, 0, 0]"
ordenes,"[13, 2, 2]"
defensor,"[7, 0, 2]"
despues,"[78, 192, 32]"
altar,"[4, 0, 0]"
trono,"[4, 4, 0]"
criado,"[3, 1, 0]"
jesuitas,"[12, 2, 0]"
francia,"[9, 0, 0]"
pension,"[1, 0, 1]"
corazon,"[10, 28, 3]"
miraba,"[14, 1, 15]"
recien,"[9, 0, 2]"
llegado,"[15, 33, 4]"
recelosa,"[1, 0, 0]"
hostil,"[1, 1, 0]"
curiosidad,"[14, 0, 7]"
propia,"[24, 8, 1]"
quien,"[64, 49, 26]"
pasado,"[10, 13, 10]"
entre,"[62, 114, 43]"
gente,"[9, 5, 24]"
inquieta,"[1, 0, 1]"
aficionada,"[2, 0, 0]"
desconfianza,"[1, 0, 0]"
sentimiento,"[3, 1, 1]"
natural,"[2, 0, 0]"
espionaje,"[2, 0, 1]"
deber,"[9, 1, 1]"
observacion,"[1, 0, 0]"
estragos,"[1, 0, 0]"
habia,"[145, 178, 143]"
hecho,"[27, 24, 11]"
cuerpo,"[25, 17, 10]"
antiguo,"[17, 1, 3]"
puños,"[1, 0, 1]"
ferreos,"[1, 0, 0]"
estomago,"[4, 0, 3]"
dispuesto,"[6, 5, 1]"
mismo,"[64, 39, 32]"
barrerle,"[1, 0, 0]"
celda,"[1, 0, 1]"
padre,"[129, 38, 11]"
prior,"[2, 0, 0]"
empuñar,"[1, 0, 0]"
trabuco,"[3, 0, 0]"
posterior,"[1, 0, 0]"
habiale,"[1, 0, 0]"
creado,"[3, 0, 1]"
nueva,"[4, 9, 1]"
personalidad,"[2, 0, 0]"
adaptaba,"[1, 0, 0]"
sobre,"[111, 110, 85]"
traje,"[5, 14, 3]"
virtud,"[4, 2, 0]"
cepilladura,"[1, 0, 0]"
loyolesca,"[1, 0, 0]"
sabia,"[21, 13, 14]"
sonreir,"[3, 0, 1]"
mansedumbre,"[2, 0, 0]"
mirar,"[7, 1, 3]"
todas,"[59, 84, 37]"
partes,"[6, 4, 2]"
fijos,"[1, 0, 1]"
suelo,"[11, 8, 5]"
entonacion,"[3, 0, 3]"
meliflua,"[3, 0, 0]"
humilde,"[8, 2, 1]"
hacia,"[37, 85, 42]"
exclamar,"[1, 0, 0]"
ricas,"[1, 1, 0]"
devotas,"[2, 0, 0]"
visitaban,"[1, 0, 0]"
andres,"[4, 0, 0]"
santo,"[11, 2, 2]"
varon,"[1, 0, 0]"
gracia,"[11, 4, 4]"
caballero,"[12, 0, 1]"
apeandose,"[1, 0, 0]"
puerta,"[28, 43, 21]"
carruaje,"[4, 0, 5]"
cierto,"[28, 8, 9]"
misterioso,"[7, 0, 2]"
entrado,"[4, 3, 4]"
sopeton,"[1, 0, 0]"
alarmaba,"[1, 0, 0]"
olfato,"[2, 2, 0]"
amaestrado,"[1, 0, 0]"
sacristia,"[1, 0, 0]"
partidas,"[3, 0, 0]"
rotulado,"[2, 0, 0]"
imaginacion,"[11, 2, 1]"
terrible,"[19, 9, 7]"
titulo,"[3, 3, 0]"
hombre,"[70, 30, 38]"
decia,"[17, 7, 4]"
serafico,"[1, 0, 0]"
mirandole,"[2, 0, 0]"
sesgo,"[1, 0, 0]"
